Name,Date,Market Cap,Volume,Open,Close
Shiba,24/1/22,12262368993.00,1838197218.00,$0.00 ,N/A
Shiba,23/1/22,11276293509.00,2031588889.00,$0.00 ,$0.00 
Shiba,22/1/22,12212883707.00,1310787267.00,$0.00 ,$0.00 
Shiba,21/1/22,14620746755.00,560027442.00,$0.00 ,$0.00 
Shiba,20/1/22,15074965504.00,541811813.00,$0.00 ,$0.00 
Shiba,19/1/22,15495831260.00,690195575.00,$0.00 ,$0.00 
Shiba,18/1/22,15891202083.00,648118257.00,$0.00 ,$0.00 
Shiba,17/1/22,16795821018.00,524564177.00,$0.00 ,$0.00 
Shiba,16/1/22,16963772017.00,588793542.00,$0.00 ,$0.00 
Shiba,15/1/22,16910935921.00,1337226885.00,$0.00 ,$0.00 
Shiba,14/1/22,16436876320.00,1245939479.00,$0.00 ,$0.00 
Shiba,13/1/22,17708253734.00,1338396439.00,$0.00 ,$0.00 
Shiba,12/1/22,15251282327.00,724780745.00,$0.00 ,$0.00 
Shiba,11/1/22,14736437267.00,884027171.00,$0.00 ,$0.00 
Shiba,10/1/22,15526997409.00,617486189.00,$0.00 ,$0.00 
Shiba,9/1/22,15333795500.00,951595698.00,$0.00 ,$0.00 
Shiba,8/1/22,15969962380.00,1020640457.00,$0.00 ,$0.00 
Shiba,7/1/22,16961671710.00,1009686169.00,$0.00 ,$0.00 
Shiba,6/1/22,16846277325.00,973728775.00,$0.00 ,$0.00 
Shiba,5/1/22,18001325841.00,607047040.00,$0.00 ,$0.00 
Shiba,4/1/22,18255718056.00,604029975.00,$0.00 ,$0.00 
Shiba,3/1/22,18743982834.00,508664096.00,$0.00 ,$0.00 
Shiba,2/1/22,18746143091.00,513504800.00,$0.00 ,$0.00 
Shiba,1/1/22,18446881461.00,812979996.00,$0.00 ,$0.00 
Shiba,31/12/21,18509600801.00,858881693.00,$0.00 ,$0.00 
Shiba,30/12/21,18352763924.00,1034403997.00,$0.00 ,$0.00 
Shiba,29/12/21,19369704769.00,1615338418.00,$0.00 ,$0.00 
Shiba,28/12/21,21457675086.00,1090737882.00,$0.00 ,$0.00 
Shiba,27/12/21,21119820941.00,1101422664.00,$0.00 ,$0.00 
Shiba,26/12/21,20880986818.00,1058340967.00,$0.00 ,$0.00 
Shiba,25/12/21,20044341035.00,1961113333.00,$0.00 ,$0.00 
Shiba,24/12/21,21213050189.00,1852837798.00,$0.00 ,$0.00 
Shiba,23/12/21,19337131678.00,2175276772.00,$0.00 ,$0.00 
Shiba,22/12/21,18399650924.00,1234209242.00,$0.00 ,$0.00 
Shiba,21/12/21,17352937256.00,1630197249.00,$0.00 ,$0.00 
Shiba,20/12/21,17007120556.00,544379146.00,$0.00 ,$0.00 
Shiba,19/12/21,17297145207.00,636610513.00,$0.00 ,$0.00 
Shiba,18/12/21,17142168121.00,1080869038.00,$0.00 ,$0.00 
Shiba,17/12/21,18018005905.00,879083265.00,$0.00 ,$0.00 
Shiba,16/12/21,18550839175.00,1076554319.00,$0.00 ,$0.00 
Shiba,15/12/21,18601086716.00,1345432221.00,$0.00 ,$0.00 
Shiba,14/12/21,18129253745.00,1319313862.00,$0.00 ,$0.00 
Shiba,13/12/21,20122253769.00,1325673695.00,$0.00 ,$0.00 
Shiba,12/12/21,18892968784.00,864755181.00,$0.00 ,$0.00 
Shiba,11/12/21,18747189927.00,921653346.00,$0.00 ,$0.00 
Shiba,10/12/21,19299390544.00,1014491008.00,$0.00 ,$0.00 
Shiba,9/12/21,20326234005.00,1147768556.00,$0.00 ,$0.00 
Shiba,8/12/21,19962661617.00,1754792256.00,$0.00 ,$0.00 
Shiba,7/12/21,20279468641.00,2200062905.00,$0.00 ,$0.00 
Shiba,6/12/21,19955037755.00,2216915480.00,$0.00 ,$0.00 
Shiba,5/12/21,20456793687.00,3683920845.00,$0.00 ,$0.00 
Shiba,4/12/21,22462610152.00,2597611899.00,$0.00 ,$0.00 
Shiba,3/12/21,23319900485.00,2057700154.00,$0.00 ,$0.00 
Shiba,2/12/21,24151563769.00,3328037287.00,$0.00 ,$0.00 
Shiba,1/12/21,26227146482.00,9213910913.00,$0.00 ,$0.00 
Shiba,30/11/21,24249907967.00,3337042006.00,$0.00 ,$0.00 
Shiba,29/11/21,21510937155.00,1803217796.00,$0.00 ,$0.00 
Shiba,28/11/21,21377199875.00,1947343342.00,$0.00 ,$0.00 
Shiba,27/11/21,21164740263.00,3593156982.00,$0.00 ,$0.00 
Shiba,26/11/21,23288544261.00,5701986623.00,$0.00 ,$0.00 
Shiba,25/11/21,20801139834.00,3164279300.00,$0.00 ,$0.00 
