,Name,Date,Close,Marketcap
0,Bitcoin,2013-04-29 23:59:59,144.53999329,1603768864.5
1,Bitcoin,2013-04-30 23:59:59,139.00000000,1542813125.0
2,Bitcoin,2013-05-01 23:59:59,116.98999786,1298954593.75
3,Bitcoin,2013-05-02 23:59:59,105.20999908,1168517495.25
4,Bitcoin,2013-05-03 23:59:59,97.75000000,1085995168.75
5,Bitcoin,2013-05-04 23:59:59,112.50000000,1250316562.5
6,Bitcoin,2013-05-05 23:59:59,115.91000366,1288693175.5
7,Bitcoin,2013-05-06 23:59:59,112.30000305,1249023060.0
8,Bitcoin,2013-05-07 23:59:59,111.50000000,1240593600.0
9,Bitcoin,2013-05-08 23:59:59,113.56600189,1264049202.15
10,Bitcoin,2013-05-09 23:59:59,112.66999817,1254535382.0
11,Bitcoin,2013-05-10 23:59:59,117.19999695,1305479080.0
12,Bitcoin,2013-05-11 23:59:59,115.24299622,1284207489.42
13,Bitcoin,2013-05-12 23:59:59,115.00000000,1281982625.0
14,Bitcoin,2013-05-13 23:59:59,117.98000336,1315710010.5
15,Bitcoin,2013-05-14 23:59:59,111.50000000,1243874487.5
16,Bitcoin,2013-05-15 23:59:59,114.22000122,1274623812.5
17,Bitcoin,2013-05-16 23:59:59,118.76000214,1325726787.0
18,Bitcoin,2013-05-17 23:59:59,123.01499939,1373723881.88
19,Bitcoin,2013-05-18 23:59:59,123.49800110,1379574545.85
20,Bitcoin,2013-05-19 23:59:59,121.98999786,1363204702.75
21,Bitcoin,2013-05-20 23:59:59,122.00000000,1363709900.0
22,Bitcoin,2013-05-21 23:59:59,122.87999725,1374013440.0
23,Bitcoin,2013-05-22 23:59:59,123.88899994,1385778992.85
24,Bitcoin,2013-05-23 23:59:59,126.69999695,1417769832.5
25,Bitcoin,2013-05-24 23:59:59,133.19999695,1491070770.0
26,Bitcoin,2013-05-25 23:59:59,131.97999573,1477958233.0
27,Bitcoin,2013-05-26 23:59:59,133.47999573,1495293015.0
28,Bitcoin,2013-05-27 23:59:59,129.74499512,1454029509.62
29,Bitcoin,2013-05-28 23:59:59,129.00000000,1446189975.0
30,Bitcoin,2013-05-29 23:59:59,132.30000305,1483734577.5
31,Bitcoin,2013-05-30 23:59:59,128.79899597,1445053940.55
32,Bitcoin,2013-05-31 23:59:59,129.00000000,1447870200.0
33,Bitcoin,2013-06-01 23:59:59,129.30000305,1451916165.0
34,Bitcoin,2013-06-02 23:59:59,122.29199982,1373837499.9
