,Name,Date,Close,Marketcap
0,Ethereum,2015-08-08 23:59:59,0.75332499,45486894.2408
1,Ethereum,2015-08-09 23:59:59,0.70189703,42399573.4991
2,Ethereum,2015-08-10 23:59:59,0.70844799,42818364.3945
3,Ethereum,2015-08-11 23:59:59,1.06786001,64569288.4328
4,Ethereum,2015-08-12 23:59:59,1.21744001,73645010.9863
5,Ethereum,2015-08-13 23:59:59,1.82766998,110607191.674
6,Ethereum,2015-08-14 23:59:59,1.82787001,110672321.811
7,Ethereum,2015-08-15 23:59:59,1.68889999,102303608.46700001
8,Ethereum,2015-08-16 23:59:59,1.56603003,94901005.3503
9,Ethereum,2015-08-17 23:59:59,1.20360994,87295366.5007
10,Ethereum,2015-08-18 23:59:59,1.08704996,78868413.07800001
11,Ethereum,2015-08-19 23:59:59,1.25885999,91366391.4393
12,Ethereum,2015-08-20 23:59:59,1.46492004,106351420.17799999
13,Ethereum,2015-08-21 23:59:59,1.39529002,101331855.597
14,Ethereum,2015-08-22 23:59:59,1.37923002,100201825.662
15,Ethereum,2015-08-23 23:59:59,1.35258996,98300351.3461
16,Ethereum,2015-08-24 23:59:59,1.23126996,89515256.5525
17,Ethereum,2015-08-25 23:59:59,1.14019001,82922632.9052
18,Ethereum,2015-08-26 23:59:59,1.15998006,84390923.5384
19,Ethereum,2015-08-27 23:59:59,1.14769995,83524585.3858
20,Ethereum,2015-08-28 23:59:59,1.19138002,86731076.6374
21,Ethereum,2015-08-29 23:59:59,1.18254995,86113894.6912
22,Ethereum,2015-08-30 23:59:59,1.31927001,96097349.1063
23,Ethereum,2015-08-31 23:59:59,1.35824001,98963974.8992
24,Ethereum,2015-09-01 23:59:59,1.35160995,98507500.0511
25,Ethereum,2015-09-02 23:59:59,1.29479003,94389544.2517
26,Ethereum,2015-09-03 23:59:59,1.26493001,92234142.4838
27,Ethereum,2015-09-04 23:59:59,1.27441001,92953700.9787
28,Ethereum,2015-09-05 23:59:59,1.33880997,97683882.5429
29,Ethereum,2015-09-06 23:59:59,1.29583001,94580163.7911
30,Ethereum,2015-09-07 23:59:59,1.24664998,91020734.5517
31,Ethereum,2015-09-08 23:59:59,1.24242997,90743242.4997
32,Ethereum,2015-09-09 23:59:59,1.20650995,88150124.7109
33,Ethereum,2015-09-10 23:59:59,1.16577005,85202731.6627
34,Ethereum,2015-09-11 23:59:59,0.98297799,71868264.5796
35,Ethereum,2015-09-12 23:59:59,1.03874004,75971273.1522
36,Ethereum,2015-09-13 23:59:59,0.93600303,68480586.7159
37,Ethereum,2015-09-14 23:59:59,0.87562197,64084134.617
38,Ethereum,2015-09-15 23:59:59,0.94441003,69141408.7519
39,Ethereum,2015-09-16 23:59:59,0.90717500,66437873.289
40,Ethereum,2015-09-17 23:59:59,0.87423098,64046215.9505
41,Ethereum,2015-09-18 23:59:59,0.85368502,62561883.0773
42,Ethereum,2015-09-19 23:59:59,0.88239098,64687991.9997
43,Ethereum,2015-09-20 23:59:59,0.93844497,68822183.059
44,Ethereum,2015-09-21 23:59:59,0.91904700,67422915.0922
45,Ethereum,2015-09-22 23:59:59,0.90179598,66180153.1012
46,Ethereum,2015-09-23 23:59:59,0.89340597,65587498.9815
47,Ethereum,2015-09-24 23:59:59,0.81361002,59749887.5183
48,Ethereum,2015-09-25 23:59:59,0.73622298,54085581.3072
49,Ethereum,2015-09-26 23:59:59,0.78596401,57759115.3858
50,Ethereum,2015-09-27 23:59:59,0.72083902,52990396.2203
51,Ethereum,2015-09-28 23:59:59,0.58288598,42863006.0965
52,Ethereum,2015-09-29 23:59:59,0.66114599,48633258.7786
53,Ethereum,2015-09-30 23:59:59,0.73864400,54351468.2396
54,Ethereum,2015-10-01 23:59:59,0.69021499,50805918.9432
